video_id,author_id,video_type,upload_type,music_type
100,2531301,NORMAL,LongImport,9
101,5784048,AD,UNKNOWN,
102,4793463,NORMAL,Kmovie,9
103,878536,NORMAL,LongImport,9
104,5449532,NORMAL,Kmovie,9
105,7614764,NORMAL,Web,9
106,8186803,NORMAL,Web,9
107,7687404,NORMAL,Web,9
108,6311908,NORMAL,ShortImport,9
109,5155624,NORMAL,Web,
110,2334464,NORMAL,LongCamera,4
111,1817185,NORMAL,LongImport,9
112,7494956,NORMAL,Web,9
113,802,NORMAL,ShortCamera,4
114,6650444,NORMAL,LongImport,9
115,1423041,NORMAL,ShareFromOtherApp,
116,7133245,NORMAL,LongImport,4
117,543725,NORMAL,ShareFromOtherApp,9
118,1215370,NORMAL,LongImport,9
119,8523228,NORMAL,LongImport,9
120,6166697,NORMAL,LongImport,9
121,4695410,NORMAL,Kmovie,9
122,122434,NORMAL,LongImport,4
123,8309013,NORMAL,ShortImport,9
124,8232014,NORMAL,Kmovie,4
125,5912533,NORMAL,Web,9
126,2563673,NORMAL,LongImport,9
127,7267654,NORMAL,Web,9
128,5623243,NORMAL,LongImport,9
129,6670138,NORMAL,Web,9
130,4086009,NORMAL,Web,9
131,7294154,NORMAL,LongImport,9
132,3601097,NORMAL,LongImport,9
133,4940366,NORMAL,Web,9
134,174395,NORMAL,LongImport,9
135,5587532,NORMAL,LongImport,9
136,7568913,NORMAL,Web,9
137,6044115,NORMAL,Web,9
138,832287,NORMAL,Web,9
139,8547089,NORMAL,Kmovie,9
140,7898710,NORMAL,Web,9
141,5476728,NORMAL,LongImport,9
142,5857766,NORMAL,LongImport,9
143,7435214,NORMAL,LongImport,9
144,7155649,NORMAL,LongImport,9
145,6425854,NORMAL,LongImport,9
146,6742036,NORMAL,Web,9
147,5127766,NORMAL,Kmovie,9
148,8596134,NORMAL,Web,9
149,4898713,NORMAL,ShortImport,9
150,5141970,NORMAL,Kmovie,9
151,8624242,NORMAL,LongImport,9
152,7084321,NORMAL,Web,9
153,6834432,NORMAL,LongImport,9
154,6254490,NORMAL,Web,9
155,90045,NORMAL,LongImport,9
156,5623243,NORMAL,LongImport,9
157,5043795,NORMAL,LongImport,4
158,6699938,NORMAL,Web,9
159,2041892,NORMAL,LongImport,9
160,8004185,NORMAL,Web,9
161,6848442,NORMAL,ShortImport,9
162,918634,NORMAL,Web,9
163,3933854,NORMAL,LongImport,4
164,7091995,NORMAL,Kmovie,4
165,3060238,NORMAL,ShortImport,9
166,4913961,NORMAL,LongImport,9
167,400890,NORMAL,Web,9
168,778052,NORMAL,LongImport,9
169,2027217,NORMAL,LongPicture,4
170,4472329,NORMAL,LongImport,9
171,1809266,NORMAL,Web,9
172,6704235,NORMAL,Kmovie,9
173,3475170,NORMAL,LongImport,4
174,407275,NORMAL,UNKNOWN,
175,3630988,NORMAL,ShortImport,9
176,7697772,NORMAL,Web,9
177,2248162,NORMAL,LongImport,9
178,6620280,NORMAL,LongImport,9
179,1842475,NORMAL,LongImport,9
180,4410762,NORMAL,LongImport,9
181,534,NORMAL,LongImport,9
182,7818731,NORMAL,ShortImport,9
183,4167166,NORMAL,LongImport,4
184,7155205,NORMAL,Web,9
185,7909339,NORMAL,LongImport,9
186,1685583,NORMAL,LongImport,4
187,7669199,NORMAL,Kmovie,9
188,5155364,NORMAL,ShortImport,9
189,8166593,NORMAL,LongImport,9
190,3686259,NORMAL,LongImport,9
191,5780386,NORMAL,ShortImport,9
192,4882396,NORMAL,Web,9
193,6567554,NORMAL,LongImport,9
194,5120884,NORMAL,Web,9
195,2191000,NORMAL,LongImport,9
196,176863,NORMAL,Web,9
197,194641,NORMAL,Kmovie,9
198,6258167,NORMAL,ShortImport,
199,7862521,NORMAL,ShortImport,4
200,5309540,NORMAL,LongImport,9
201,7489254,NORMAL,Web,9
202,4953829,NORMAL,Web,9
203,8114653,NORMAL,Web,9
204,5759736,NORMAL,ShortImport,9
205,7013506,AD,UNKNOWN,
206,3423394,NORMAL,ShortImport,
207,4179151,NORMAL,ShortImport,9
208,7520972,NORMAL,Web,9
209,2248030,NORMAL,Kmovie,4
210,634175,NORMAL,Kmovie,9
211,6688838,NORMAL,Kmovie,9
212,459242,NORMAL,ShortImport,9
213,5623243,NORMAL,LongImport,9
214,3234086,NORMAL,ShortImport,9
215,637223,NORMAL,LongImport,9
216,6260217,NORMAL,LongImport,9
217,4538266,NORMAL,Web,9
218,4609104,NORMAL,Kmovie,9
219,4767779,NORMAL,LongImport,9
220,2347196,NORMAL,ShortImport,4
221,3872015,NORMAL,Web,
222,6705448,NORMAL,Web,9
223,998320,NORMAL,Kmovie,9
224,2375760,NORMAL,LongImport,9
225,8136403,NORMAL,Web,9
226,8196816,NORMAL,Web,9
227,7716708,NORMAL,LongImport,9
228,7601203,NORMAL,LongImport,9
229,5574424,NORMAL,LongImport,
230,4458641,NORMAL,ShortImport,4
231,2508537,NORMAL,LongImport,9
232,5203889,NORMAL,LongImport,9
233,6894760,NORMAL,Web,9
234,6532723,NORMAL,Web,9
235,5626101,NORMAL,LongImport,9
236,6611421,NORMAL,LongImport,9
237,4282226,NORMAL,Web,9
238,7709322,NORMAL,ShortImport,9
239,3525357,NORMAL,LongImport,9
240,7751575,NORMAL,LongImport,9
241,1732769,NORMAL,LongImport,9
242,5296858,NORMAL,LongPicture,4
243,6403154,NORMAL,LongImport,9
244,6311523,NORMAL,LongImport,9
245,57309,NORMAL,Kmovie,9
246,5899664,NORMAL,LongImport,9
247,53177,NORMAL,LongImport,9
248,7859004,NORMAL,Web,9
249,5779656,NORMAL,LongImport,9
250,1449322,NORMAL,LongImport,9
251,8309152,NORMAL,Web,9
252,4645121,NORMAL,Web,4
253,6838476,NORMAL,Web,9
254,8421488,NORMAL,LongImport,9
255,6988220,NORMAL,ShortImport,9
256,88171,NORMAL,LongImport,9
257,1393130,NORMAL,LongImport,9
258,240620,NORMAL,LongImport,9
259,5436947,NORMAL,LongImport,9
260,7345455,NORMAL,ShortImport,9
261,4963948,NORMAL,LongImport,9
262,3040108,NORMAL,Web,9
263,4445068,NORMAL,LongPicture,9
264,5327025,NORMAL,Web,9
265,5103924,NORMAL,Kmovie,9
266,8186384,NORMAL,Web,9
267,1094408,NORMAL,Web,9
268,7859050,NORMAL,Web,9
269,5826671,NORMAL,LongImport,9
270,5284241,NORMAL,LongImport,9
271,5279645,NORMAL,LongImport,
272,7545252,NORMAL,Web,9
273,6429363,NORMAL,ShortCamera,9
274,5011596,NORMAL,LongImport,9
275,2199081,NORMAL,LongImport,9
276,7476393,AD,UNKNOWN,
277,6397260,NORMAL,LongImport,9
278,1810119,NORMAL,Web,9
279,7734769,NORMAL,Web,9
280,1865699,NORMAL,Web,9
281,7332574,NORMAL,ShortImport,9
282,7278591,NORMAL,Web,9
283,6755188,NORMAL,Kmovie,9
284,3085640,NORMAL,Web,9
285,5386886,NORMAL,ShortImport,4
286,111734,NORMAL,Web,9
287,2565261,NORMAL,ShortImport,4
288,4126614,NORMAL,LongImport,9
289,5098002,NORMAL,LongImport,9
290,7621485,NORMAL,ShortImport,9
291,6646144,NORMAL,Web,9
292,4339989,NORMAL,Web,9
293,8626658,NORMAL,Web,9
294,4685711,NORMAL,LongImport,9
295,8498122,NORMAL,LongImport,9
296,6760460,NORMAL,LongImport,9
297,8503681,NORMAL,LongImport,9
298,2555006,NORMAL,ShortImport,9
299,7284710,NORMAL,Web,9
300,8336890,NORMAL,LongPicture,9
301,579728,NORMAL,ShortImport,9
302,6595572,NORMAL,Web,9
303,6091967,NORMAL,ShortImport,9
304,8209900,NORMAL,Web,9
305,4151751,NORMAL,Web,9
306,24738,NORMAL,LongImport,9
307,5646607,NORMAL,LongImport,9
308,5623243,NORMAL,LongImport,9
309,6538348,NORMAL,Web,9
310,8019550,NORMAL,LongImport,9
311,2488486,NORMAL,Kmovie,4
312,5193869,NORMAL,LongPicture,9
313,6018741,NORMAL,LongImport,9
314,638082,NORMAL,Web,9
315,821819,NORMAL,ShortImport,9
316,1431832,NORMAL,FollowShoot,9
317,897879,NORMAL,LongCamera,4
318,5708404,NORMAL,Web,9
319,7929565,NORMAL,Web,9
320,902621,NORMAL,Web,9
321,8097152,NORMAL,Kmovie,9
322,5906897,NORMAL,ShortImport,9
323,8186922,NORMAL,Web,9
324,111962,NORMAL,Kmovie,9
325,2767,NORMAL,Kmovie,9
326,8169254,NORMAL,Web,9
327,2263762,NORMAL,ShortImport,9
328,6706089,NORMAL,LongImport,9
329,288157,NORMAL,LongImport,9
330,7237359,NORMAL,Web,9
331,4596804,NORMAL,ShortImport,9
332,8705844,NORMAL,Kmovie,9
333,1003005,NORMAL,LongImport,9
334,8345555,NORMAL,Web,9
335,3773371,NORMAL,Web,
336,6880451,NORMAL,LongImport,9
337,5275928,NORMAL,LongImport,9
338,2663448,NORMAL,ShortImport,9
339,851399,NORMAL,LongImport,9
340,7567091,NORMAL,Web,9
341,664995,NORMAL,Kmovie,9
342,7874025,NORMAL,Web,9
343,7931734,NORMAL,Kmovie,9
344,90050,NORMAL,Web,9
345,3046678,NORMAL,LongImport,9
346,12768,NORMAL,LongImport,9
347,6786102,NORMAL,LongImport,9
348,4444839,NORMAL,Web,4
349,529291,NORMAL,ShortImport,9
350,1640402,NORMAL,Kmovie,9
351,3990627,NORMAL,LongImport,9
352,929298,NORMAL,ShortImport,4
353,8050421,NORMAL,LongPicture,4
354,7125990,NORMAL,LongImport,9
355,8248584,NORMAL,Web,9
356,4247040,NORMAL,Web,9
357,2158753,NORMAL,ShortImport,9
358,8184957,NORMAL,Kmovie,9
359,878350,NORMAL,Web,9
360,353011,NORMAL,LongImport,9
361,7528502,NORMAL,LongImport,9
362,311025,NORMAL,Web,9
363,3353483,NORMAL,LongImport,9
364,7239777,NORMAL,ShareFromOtherApp,
365,6828681,NORMAL,LongPicture,4
366,81176,NORMAL,LongImport,9
367,30623,NORMAL,LongImport,9
368,7659904,NORMAL,LongImport,9
369,3777195,NORMAL,LongImport,9
370,2214863,NORMAL,LongImport,9
371,6849646,NORMAL,Web,9
372,4461642,NORMAL,ShortImport,9
373,3777487,NORMAL,Kmovie,9
374,4845160,NORMAL,Kmovie,9
375,6358859,NORMAL,LongImport,9
376,7331764,NORMAL,Web,9
377,7047713,NORMAL,Web,9
378,6541666,NORMAL,LongImport,4
379,4854403,NORMAL,ShortImport,
380,7427083,NORMAL,LongImport,9
381,6569553,NORMAL,Web,9
382,7027797,NORMAL,LongImport,9
383,6453651,NORMAL,LongImport,9
384,43750,NORMAL,LongImport,4
385,7832518,NORMAL,LongImport,9
386,5924221,NORMAL,LongImport,9
387,3089000,NORMAL,LongImport,9
388,6232650,NORMAL,LongImport,9
389,8682288,NORMAL,ShortImport,4
390,419022,NORMAL,ShortImport,9
391,6644586,AD,UNKNOWN,
392,187572,NORMAL,Web,9
393,139506,NORMAL,ShortImport,9
394,8160296,NORMAL,LongPicture,9
395,7512312,NORMAL,Kmovie,9
396,6730633,NORMAL,Kmovie,9
397,4632525,NORMAL,Kmovie,9
398,87027,NORMAL,LongImport,4
399,946702,NORMAL,LongImport,9
400,5955625,NORMAL,LongImport,9
401,1059547,NORMAL,ShortImport,9
402,5698069,NORMAL,LongImport,9
403,7477527,NORMAL,LongImport,9
404,7394275,NORMAL,Web,9
405,782985,NORMAL,ShortImport,8
406,1984674,NORMAL,Web,9
407,7784102,NORMAL,LongImport,9
408,868942,NORMAL,Kmovie,4
409,4015438,NORMAL,Web,
410,37404,NORMAL,ShortImport,9
411,685096,NORMAL,Web,9
412,5921815,NORMAL,Web,9
413,178312,NORMAL,ShortImport,9
414,4279896,NORMAL,ShortImport,9
415,84862,NORMAL,LongImport,9
416,6038554,NORMAL,Kmovie,9
417,263099,NORMAL,Web,9
418,1344229,NORMAL,Kmovie,9
419,5662678,NORMAL,Web,9
420,159372,NORMAL,ShortImport,9
421,4818124,NORMAL,LongImport,9
422,6608522,NORMAL,Web,9
423,2716331,NORMAL,Web,9
424,443643,NORMAL,LongCamera,9
425,5411268,NORMAL,Web,9
426,4189985,NORMAL,LongImport,9
427,5182792,NORMAL,PictureSet,4
428,8283328,NORMAL,Web,9
429,5400819,NORMAL,LongImport,9
430,4647132,NORMAL,LongImport,9
431,8106487,NORMAL,Web,9
432,6967962,NORMAL,LongImport,9
433,6683517,NORMAL,ShortImport,4
434,3990494,NORMAL,Web,9
435,2233765,NORMAL,Web,9
436,5384651,NORMAL,LongImport,9
437,122434,NORMAL,LongPicture,4
438,13108,NORMAL,Kmovie,9
439,7859965,NORMAL,ShortImport,9
440,5275934,NORMAL,LongImport,9
441,1838732,NORMAL,LongImport,9
442,7516025,NORMAL,ShortImport,9
443,8111697,NORMAL,LongImport,9
444,7336639,NORMAL,Kmovie,9
445,4253707,NORMAL,ShortImport,9
446,3551379,NORMAL,ShortImport,9
447,6357066,NORMAL,Web,9
448,8045475,NORMAL,LongPicture,9
449,7791877,NORMAL,Web,9
450,7027962,NORMAL,Kmovie,8
451,7634493,NORMAL,LongImport,9
452,6509935,NORMAL,Web,9
453,2696153,NORMAL,LongImport,9
454,47095,NORMAL,Web,9
455,854432,NORMAL,ShortImport,4
456,7728502,NORMAL,Kmovie,9
457,4196671,NORMAL,ShortImport,4
458,7980625,NORMAL,Web,9
459,654185,NORMAL,Kmovie,9
460,291750,NORMAL,ShortImport,9
461,1119719,NORMAL,LongImport,9
462,6660884,NORMAL,Web,9
463,7766189,NORMAL,LongImport,9
464,8061067,NORMAL,Web,9
465,6582495,NORMAL,Kmovie,9
466,8509485,NORMAL,Kmovie,9
467,341670,NORMAL,Web,9
468,124992,AD,UNKNOWN,
469,257090,NORMAL,Kmovie,9
470,5270709,NORMAL,LongImport,9
471,155481,NORMAL,LongImport,4
472,7762226,NORMAL,LongImport,4
473,8062338,NORMAL,PictureSet,4
474,6671879,NORMAL,LongImport,9
475,304945,NORMAL,LongImport,9
476,4724487,NORMAL,LongImport,9
477,627147,NORMAL,LongImport,9
478,7083604,NORMAL,LongImport,9
479,7549120,NORMAL,Web,9
480,6387169,NORMAL,LongImport,9
481,5369386,NORMAL,LongImport,
482,6641728,NORMAL,Web,9
483,4361112,NORMAL,LongImport,7
484,3630827,NORMAL,Web,9
485,5626052,NORMAL,LongImport,9
486,8088709,NORMAL,ShortImport,9
487,7304261,NORMAL,PictureSet,9
488,4018551,NORMAL,LongImport,9
489,6458462,NORMAL,Web,9
490,5449532,NORMAL,Kmovie,9
491,1948019,NORMAL,LongImport,9
492,8097396,NORMAL,LongImport,9
493,5659356,NORMAL,LongImport,9
494,1851888,NORMAL,PhotoCopy,4
495,7215120,NORMAL,ShortImport,9
496,5451917,NORMAL,Web,9
497,508986,NORMAL,LongImport,9
498,4363458,NORMAL,LongImport,9
499,6657574,NORMAL,LongImport,9
500,82260,NORMAL,LongImport,9
501,5664998,NORMAL,Web,9
502,5759048,NORMAL,Web,9
503,140720,NORMAL,LongImport,9
504,6703384,NORMAL,Kmovie,9
505,6260638,NORMAL,ShortImport,9
506,1054466,NORMAL,LongImport,9
507,6853782,NORMAL,ShortImport,9
508,459779,NORMAL,LongImport,9
509,6765368,NORMAL,Web,9
510,4031342,NORMAL,LongImport,9
511,2557924,NORMAL,LongImport,9
512,6260217,NORMAL,LongImport,9
513,6603801,NORMAL,LongImport,9
514,7689727,NORMAL,Kmovie,9
515,4019412,NORMAL,LongImport,9
516,4286245,NORMAL,LongImport,9
517,4785997,NORMAL,Web,9
518,4479354,NORMAL,Web,9
519,7490392,NORMAL,LongImport,9
520,1042254,NORMAL,LongImport,9
521,6862148,NORMAL,LongImport,9
522,3839521,NORMAL,Web,9
523,7934688,NORMAL,ShortCamera,9
524,6260217,NORMAL,LongImport,9
525,7316923,NORMAL,LongImport,9
526,6199418,NORMAL,Web,9
527,6109628,NORMAL,UNKNOWN,9
528,4017118,NORMAL,ShortImport,9
529,7584159,NORMAL,LongImport,9
530,7601832,NORMAL,LongPicture,4
531,6088588,NORMAL,ShortImport,9
532,2094079,NORMAL,Web,9
533,3925175,NORMAL,LongImport,4
534,4536977,NORMAL,Web,9
535,6340083,NORMAL,LongImport,4
536,2434158,NORMAL,LongImport,9
537,7135984,NORMAL,LongImport,9
538,6288720,NORMAL,LongImport,9
539,2723223,NORMAL,LongImport,9
540,556408,NORMAL,LongImport,4
541,7847029,NORMAL,Kmovie,9
542,1077756,AD,UNKNOWN,
543,6103866,NORMAL,LongImport,9
544,6937029,NORMAL,Web,9
545,7316578,NORMAL,LongImport,9
546,8382342,NORMAL,ShortImport,4
547,6018039,NORMAL,LongImport,8
548,7026928,NORMAL,Web,9
549,2641658,AD,UNKNOWN,
550,6846963,NORMAL,LongImport,9
551,5577589,NORMAL,Web,9
552,7017066,NORMAL,Web,9
553,5683387,NORMAL,Web,9
554,1818440,NORMAL,ShortImport,9
555,7046715,NORMAL,Web,9
556,5196480,NORMAL,LongImport,4
557,2295460,NORMAL,LongImport,9
558,4824781,NORMAL,LongImport,9
559,6974643,NORMAL,Web,9
560,584403,NORMAL,LongImport,9
561,7680872,NORMAL,Web,9
562,2962367,NORMAL,LongImport,9
563,7598268,NORMAL,Kmovie,9
564,1919442,NORMAL,Web,9
565,8185714,NORMAL,LongImport,9
566,1290582,NORMAL,ShortImport,4
567,38026,NORMAL,ShortImport,4
568,8262555,NORMAL,Kmovie,9
569,27261,NORMAL,LongImport,9
570,7821894,NORMAL,LongImport,9
571,4979387,NORMAL,Kmovie,4
572,2367824,NORMAL,LongImport,9
573,6750356,NORMAL,LongImport,9
574,5644864,NORMAL,Web,9
575,7598188,NORMAL,Web,9
576,4927033,NORMAL,ShortImport,
577,1555490,NORMAL,Web,9
578,7801988,NORMAL,LongPicture,7
579,114761,NORMAL,LongImport,9
580,7823056,NORMAL,ShortImport,4
581,8228117,NORMAL,Web,9
582,7017510,NORMAL,LongImport,9
583,4854270,NORMAL,Web,9
584,6628506,NORMAL,Web,9
585,5539800,NORMAL,Web,9
586,3349674,NORMAL,Kmovie,9
587,7033135,NORMAL,Web,9
588,3593872,NORMAL,ShortImport,9
589,3374325,NORMAL,LongImport,9
590,792065,NORMAL,Kmovie,9
591,5976828,NORMAL,LongImport,9
592,7149738,NORMAL,Web,9
593,8289977,NORMAL,LongCamera,4
594,20060,AD,UNKNOWN,
595,8505443,NORMAL,Web,9
596,579414,NORMAL,ShortImport,9
597,663099,NORMAL,LongImport,9
598,7728521,NORMAL,Web,9
599,8560948,NORMAL,LongImport,9
600,6025416,NORMAL,ShortImport,9
601,4998837,NORMAL,Web,
602,6172715,NORMAL,ShortImport,9
603,1066357,NORMAL,LongImport,9
604,8206106,NORMAL,LongImport,9
605,5431194,AD,UNKNOWN,
606,6033057,NORMAL,Web,9
607,317138,NORMAL,Web,9
608,5625117,NORMAL,Web,9
609,7716792,NORMAL,Web,9
610,723926,NORMAL,LongImport,9
611,3406402,NORMAL,Kmovie,9
612,5781394,NORMAL,LongImport,9
613,7564758,NORMAL,LongImport,9
614,476688,NORMAL,ShortImport,9
615,90024,NORMAL,Web,9
616,389207,NORMAL,LongImport,9
617,3404809,NORMAL,LongImport,9
618,3346544,NORMAL,Kmovie,9
619,7330834,NORMAL,LongImport,9
620,5699414,NORMAL,LongPicture,9
621,7222714,NORMAL,Web,9
622,6162827,NORMAL,Kmovie,9
623,1685947,NORMAL,Web,9
624,7030198,NORMAL,LongImport,9
625,637223,NORMAL,LongImport,9
626,59454,NORMAL,ShortImport,9
627,7583218,NORMAL,Web,9
628,8033746,NORMAL,Kmovie,9
629,6847853,NORMAL,Kmovie,9
630,6838487,NORMAL,Web,9
631,8289602,NORMAL,LongImport,9
632,304285,NORMAL,FollowShoot,4
633,6098116,NORMAL,Web,9
634,140230,NORMAL,LongImport,9
635,1472492,NORMAL,LongImport,9
636,8015025,NORMAL,Web,9
637,2104375,NORMAL,Kmovie,9
638,6945250,NORMAL,Kmovie,9
639,7064110,NORMAL,LongImport,9
640,4949896,NORMAL,Web,9
641,6699693,NORMAL,LongImport,9
642,6744923,NORMAL,LongImport,9
643,8295057,NORMAL,LongImport,9
644,6631610,NORMAL,LongImport,9
645,2149777,NORMAL,LongImport,9
646,4949896,NORMAL,Web,9
647,2517717,NORMAL,LongImport,4
648,2589867,NORMAL,LongImport,9
649,882201,NORMAL,Kmovie,8
650,4213896,NORMAL,ShortImport,9
651,6904646,NORMAL,LongImport,9
652,6714077,NORMAL,ShortImport,9
653,8516999,NORMAL,Web,9
654,3049404,NORMAL,Web,9
655,2082416,NORMAL,LongImport,
656,3229101,NORMAL,Web,9
657,4720,NORMAL,LongImport,9
658,6658508,NORMAL,LongImport,9
659,162635,NORMAL,LongImport,9
660,956833,NORMAL,LongImport,9
661,3893206,NORMAL,Kmovie,8
662,7818424,NORMAL,LongImport,9
663,1479024,NORMAL,ShortImport,9
664,2562264,NORMAL,LongImport,9
665,96734,NORMAL,LongImport,9
666,263099,NORMAL,Web,9
667,8709983,NORMAL,Kmovie,9
668,7432119,NORMAL,Web,9
669,5044503,NORMAL,ShareFromOtherApp,
670,4111717,NORMAL,LongImport,9
671,786360,NORMAL,Web,9
672,5549352,NORMAL,LongImport,9
673,5732926,NORMAL,LongImport,9
674,6699644,NORMAL,Web,9
675,3406402,NORMAL,Kmovie,9
676,7712825,NORMAL,Web,9
677,1564393,NORMAL,ShareFromOtherApp,9
678,1079447,NORMAL,ShortImport,4
679,7310312,NORMAL,ShortImport,9
680,10301,NORMAL,ShortImport,9
681,6647031,NORMAL,Web,9
682,7709306,NORMAL,Web,9
683,7093308,NORMAL,ShortImport,4
684,7052950,NORMAL,Web,9
685,3900533,NORMAL,Web,9
686,7612554,NORMAL,LongImport,9
687,7101292,NORMAL,Kmovie,9
688,5833368,NORMAL,LongImport,9
689,7629167,NORMAL,LongImport,9
690,7251923,NORMAL,LongImport,9
691,6879658,NORMAL,ShortImport,9
692,2116317,NORMAL,LongImport,9
693,6912084,NORMAL,Web,9
694,6120224,NORMAL,LongImport,9
695,6129313,NORMAL,LongImport,9
696,7665566,NORMAL,LongImport,9
697,365563,NORMAL,Kmovie,9
698,6335979,NORMAL,LongImport,9
699,468502,NORMAL,Web,9
700,5068173,NORMAL,LongImport,9
701,734846,NORMAL,ShortImport,4
702,1551157,NORMAL,Web,9
703,5830971,NORMAL,ShortImport,9
704,7802635,NORMAL,ShortImport,9
705,330123,NORMAL,Web,9
706,4468753,NORMAL,Web,9
707,27701,NORMAL,Kmovie,9
708,3249506,NORMAL,Web,9
709,2093643,NORMAL,LongImport,9
710,5535627,NORMAL,Web,9
711,1127691,NORMAL,LongImport,9
712,5200592,NORMAL,LongImport,9
713,8358554,NORMAL,Web,9
714,1008934,NORMAL,LongImport,9
715,1232026,NORMAL,Web,9
716,2007856,NORMAL,LongImport,9
717,1904734,NORMAL,ShortCamera,4
718,542701,NORMAL,LongImport,9
719,2088020,NORMAL,Web,9
720,1537644,NORMAL,ShortImport,9
721,2630865,NORMAL,LongImport,9
722,4010048,NORMAL,Web,9
723,6730425,NORMAL,LongImport,4
724,4064870,NORMAL,LongImport,9
725,8029084,NORMAL,ShortImport,9
726,4182849,NORMAL,Web,9
727,2814252,NORMAL,Kmovie,8
728,5170339,NORMAL,LongImport,9
729,5791435,NORMAL,Web,9
730,7777373,NORMAL,Web,9
731,7642000,NORMAL,Web,9
732,7878990,NORMAL,LongImport,9
733,7694146,NORMAL,ShortImport,9
734,3598880,NORMAL,LongImport,9
735,5313900,NORMAL,Web,9
736,7546459,NORMAL,Web,9
737,4452763,NORMAL,LongImport,9
738,4362628,NORMAL,LongImport,9
739,6719272,NORMAL,Kmovie,9
740,8001254,NORMAL,LongImport,9
741,7872761,NORMAL,Web,9
742,6945028,NORMAL,ShortImport,9
743,4196738,NORMAL,ShortImport,9
744,6360012,NORMAL,Web,9
745,3967151,NORMAL,Web,
746,6436858,NORMAL,ShortImport,9
747,7166748,NORMAL,LongImport,9
748,5083162,NORMAL,LongPicture,4
749,2043132,NORMAL,LongImport,9
750,285453,NORMAL,LongImport,9
